0,7
0,18
1,5
2,0
3,4
4,16
5,1
6,19
7,18
8,10
9,14
10,7
11,15
12,10
13,11
14,7
15,14
16,20
17,15
18,2
19,7
20,13
21,10
22,9
23,8
24,8
25,11
26,4
27,14
28,5
29,6
30,19
31,15
32,10
33,17
34,7
35,11
36,15
37,11
38,16
39,2
40,14
41,19
42,12
43,2
44,16
45,13
46,2
47,3
48,2
49,17
50,13
51,7
52,17
53,9
54,10
55,12
56,7
57,9
58,13
59,0
60,6
61,17
62,12
63,10
64,12
65,9
66,18
67,13
68,20
69,12
70,18
71,20
72,3
73,1
74,2
75,15
76,0
77,8
78,17
79,5
80,3
81,14
82,5
83,20
84,0
85,19
86,6
87,13
88,19
89,16
90,12
91,14
92,18
93,10
94,1
95,9
96,9
97,9
98,15
99,17
100,11
0,2
0,3
1,19
2,13
3,1
4,13
5,12
6,3
